#{"t_start": 1658422774.1500745, "env_id": "A1GymEnv-v1"}
r,l,t
-1054.0,9,40.55121
-1024.0,4,40.56409
-1088.0,12,40.600124
-1040.0,6,40.618845
-1054.0,9,40.646118
-1008.0,2,40.653169
-1048.0,7,40.675161
-1008.0,2,40.684153
-1120.0,16,40.752115
-1078.0,12,40.790843
-1100.0,16,40.839111
-1048.0,7,40.860887
-1198.0,27,40.944807
-1064.0,9,40.972225
-1066.0,13,41.011517
-1126.0,18,41.065968
-1208.0,27,41.148421
-1048.0,7,41.170228
-1062.0,10,41.200639
-1032.0,5,41.217044
-1216.0,28,41.29999
-1128.0,17,41.35433
-1072.0,10,41.385619
-1128.0,22,41.452155
-1036.0,8,41.476664
-1072.0,10,41.516793
-1040.0,6,41.535763
-1168.0,22,41.602143
-1092.0,15,41.646348
-1056.0,8,41.673442
-1138.0,22,41.740268
-1038.0,7,41.762416
-1064.0,9,41.790401
-1064.0,9,41.81937
-1094.0,14,41.863868
-1132.0,20,41.927098
-1032.0,5,41.943326
-1024.0,4,41.956928
-1038.0,7,41.978712
-1088.0,12,42.01536
-1080.0,11,42.051406
-1040.0,6,42.070696
-1068.0,12,42.108063
-1038.0,7,42.133282
-1094.0,14,42.179538
-1048.0,7,42.202005
-1064.0,14,42.244903
-1040.0,6,42.264223
-1062.0,10,42.295088
-1040.0,6,42.325377
-1032.0,5,42.341913
-1086.0,13,42.381153
-1068.0,12,42.417551
-1096.0,13,42.462662
-1150.0,26,42.552387
-1040.0,6,42.571059
-1040.0,6,42.590151
-1054.0,9,42.617524
-1072.0,10,42.649079
-1452.0,60,42.841657
-1168.0,22,42.91521
-1080.0,11,42.949475
-1040.0,6,42.968927
-1120.0,16,43.01737
-1080.0,11,43.051259
-1030.0,6,43.070472
-1072.0,10,43.101294
-1076.0,13,43.150484
-1362.0,50,43.303507
-1048.0,7,43.325891
-1032.0,5,43.342602
-1072.0,10,43.374529
-1124.0,19,43.43357
-1040.0,6,43.454393
-1046.0,8,43.488209
-1134.0,19,43.557096
-1038.0,7,43.58042
-1112.0,15,43.626303
-1024.0,4,43.639318
-1150.0,26,43.719033
-1048.0,7,43.741059
-1048.0,7,43.765704
-1096.0,13,43.810483
-1118.0,17,43.873941
-1024.0,4,43.8887
-1064.0,9,43.917238
-1040.0,6,43.93653
-1040.0,6,43.955152
-1032.0,5,43.97221
-1088.0,12,44.008431
-1032.0,5,44.024698
-1174.0,24,44.097801
-1112.0,15,44.147735
-1096.0,13,44.187594
